"municipio_nome","PopMun","proporcao_atingidos","n_doadores","att","ep_gauss","ic_inf_gauss","ic_sup_gauss","ep_emp","ic_inf_perm","ic_sup_perm","p_bilateral","p_unilateral","z","rmspe_pre","rmspe_alto","p_tempo","p_espaco_uni","loo_min","loo_max","efeito_mensal_abs","ic_inf_mensal_abs","ic_sup_mensal_abs","efeito_acum_abs","ic_inf_acum_abs","ic_sup_acum_abs","significativo_perm","classificacao"
"Eldorado do Sul",39559,0.8218,193,-3.72033412260794,2.07727650937825,-7.79179608098931,0.351127835773426,1.82471321995773,-7.03812929781486,-0.518800042370743,0.0414507772020725,0.0207253886010363,-2.0388596311557,2.39341427882509,FALSE,NA,NA,NA,NA,-147.172697556248,-278.421356892258,-20.5232108761442,-1618.89967311872,-3140.87987791767,-96.9194683197829,TRUE,"Efeito robusto"
"Muçum",4601,0.7907,193,-5.08130631738368,2.10194505389641,-9.20111862302065,-0.961494011746709,1.75655490287756,-7.73632933944413,-2.17018784266484,0.0155440414507772,0.00518134715025907,-2.89276828698014,7.07067067579696,TRUE,NA,NA,NA,NA,-23.3790903662823,-35.5948512907825,-9.98503426410094,-257.169994029105,-434.187383808421,-80.1526042497902,TRUE,"Efeito provável (inferência parcial)"
"Roca Sales",10418,0.5452,193,-3.72346734122134,2.08324257353684,-7.80662278535355,0.359688102910862,1.76316663441496,-6.36657565163917,-0.582537190539005,0.0362694300518135,0.0207253886010363,-2.11180683013369,2.09934675297385,FALSE,NA,NA,NA,NA,-38.791082760844,-66.3269851387769,-6.06887245103535,-426.701910369283,-827.520681662678,-25.8831390758895,TRUE,"Efeito robusto"
"Arambaré",4112,0.519,193,-0.0647939022915756,1.7342336003283,-3.46389175893504,3.33430395435189,1.78334345585958,-3.09987073904287,3.03164098062987,0.94300518134715,0.533678756476684,-0.0363328230906282,0.923876002887044,FALSE,NA,NA,NA,NA,-0.266432526222959,-12.7466684789443,12.46610771235,-2.93075778845254,-161.134519312587,155.273003735682,FALSE,"Sem efeito detectável"
"Travesseiro",2152,0.5102,193,-3.72654699222379,1.9616288325539,-7.57133950402944,0.118245519581849,1.83190923530494,-7.10607007543767,-0.632369450048212,0.0362694300518135,0.0207253886010363,-2.03424215589124,2.94935148266825,FALSE,NA,NA,NA,NA,-8.0195291272656,-15.2922628023419,-1.36085905650375,-88.2148203999217,-171.010174193681,-5.41946660616242,TRUE,"Efeito robusto"
"Igrejinha",32808,0.5085,193,-1.34348675428816,1.4904421847598,-4.26475343641736,1.57777992784104,1.78538026850125,-4.39751633155546,1.77582720658927,0.207253886010363,0.103626943005181,-0.752493336008446,2.64847219420199,FALSE,NA,NA,NA,NA,-44.077113434686,-144.273715805672,58.2613389937809,-484.848247781546,-1747.09265636224,777.396160799148,FALSE,"Sem efeito detectável"
